Species,area_m2,perim_m,Year
Urchin barrens,12025.527,1627.936,1982
Urchin barrens,1906.656,376.482,1982
Urchin barrens,3785.931,525.681,1982
Urchin barrens,2344.095,329.206,1982
Urchin barrens,283.903,87.156,1982
Urchin barrens,146.148,46.45,1982
Urchin barrens,243.172,90.442,1982
Urchin barrens,2061.331,400.856,1982
Urchin barrens,318.061,152.635,1982
Alaria esculenta,2963.228,678.746,1982
Alaria esculenta,876.804,333.635,1982
Alaria esculenta,5709.368,1198.503,1982
Alaria esculenta,57.639,50.05,1982
Laminaria digitata,165.455,60.125,1982
Laminaria digitata and Saccharina latissima mix,2054.311,514.021,1982
Laminaria digitata and Saccharina latissima mix,3426.939,458.238,1982
Saccharina latissima,1491.052,258.273,1982
Saccharina latissima,900.153,238.201,1982
Saccharina latissima,2329.799,335.892,1982
Saccharina latissima,1118.658,220.825,1982
Saccharina latissima and Saccharina longicruris mix,782.729,184.057,1982
Saccharina latissima and Saccharina longicruris mix,679.403,223.17,1982
Saccharina longicruris,165.861,61.031,1982
Saccharina latissima,578.814,151.609,1982
Laminaria digitata,484.099,153.931,1982
Saccharina longicruris,64.173,41.258,1982
Reds only,635.428,185.67,1982
Alaria esculenta and Laminaria digitata mix,1069.58,212.353,1982
Alaria esculenta and Laminaria digitata mix,1716.254,318.665,1982
Laminaria digitata,1197.175,189.491,1982
Laminaria digitata,51.144,60.385,1982
Laminaria digitata,1146.328,285.077,1982
Laminaria digitata and Saccharina longicruris mix,513.386,183.644,1982
Saccharina longicruris,227.435,113.73,1982
Saccharina latissima and Saccharina longicruris mix,1647.322,230.597,1982
Saccorhiza dermatodea,191.28,51.862,1982
Saccharina latissima and Saccharina longicruris mix,1469.797,254.267,1982
Halosiphon tomentosus,66.09,33.682,1982
Saccharina latissima and Saccharina longicruris mix,2525.426,420.622,1982
Laminaria digitata and Saccharina latissima mix,967.88,200.949,1982
Laminaria digitata and Saccharina latissima mix,547.948,152.597,1982
Saccorhiza dermatodea,396.359,118.367,1982
Urchin barrens,6097.834,1015.12,1982
Urchin barrens,1002.239,249.042,1983
Saccharina latissima and Urchin barrens mix,7392.553,1035.033,1983
Saccharina latissima and Urchin barrens mix,8464.812,1210.773,1983
Urchin barrens,190.578,69.826,1983
Urchin barrens,134.467,61.774,1983
Saccharina latissima,1415.963,344.534,1983
Saccharina latissima,1364.733,257.024,1983
Saccharina latissima,2815.366,342.816,1983
Saccharina latissima and Halosiphon tomentosus mix,3141.818,470.862,1983
"Saccharina latissima, Halosiphon tomentosus and Urchin barrens mix",667.472,142.541,1983
Laminaria digitata and Urchin barrens mix,2384.924,473.367,1983
Saccharina latissima,551.557,151.252,1983
Saccharina latissima and Laminaria digitata mix,1389.94,481.704,1983
Saccharina latissima and Laminaria digitata mix,1130.011,229.692,1983
Gigartinales,296.327,106.69,1983
Saccharina latissima and Gigartinales mix,801.958,160.138,1983
Laminaria digitata,1134.653,330.007,1983
Laminaria digitata and Urchin barrens mix,1137.681,265.24,1983
Saccharina latissima and Urchin barrens mix,445.377,177.595,1983
Urchin barrens,710.331,157.278,1983
